grid_id,lon_center,lat_center,T_SAND,T_CLAY,T_SILT,T_OC,T_OM,T_GRAVEL,T_ECE,T_REF_BULK_DENSITY,wilting_point,field_capacity,saturation,available_water,sat_hydraulic_cond,matric_bulk_density,b_parameter,lambda_param,air_entry_tension,bulk_density_normal,compaction_factor
1051.0,116.6191,31.2422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1052.0,116.7191,31.2422,42.0,21.0,37.0,1.39,2.3963599999999996,19.0,0.1,1.41,0.141943900648,0.27884867297507016,0.45453097847427015,0.13690477232707016,10.53008618039661,1.4454929070431841,5.652401984906904,0.176915938156948,3.9098272680439505,1.4454929070431841,1.0
1053.0,116.8191,31.2422,42.0,21.0,37.0,1.39,2.3963599999999996,19.0,0.1,1.41,0.141943900648,0.27884867297507016,0.45453097847427015,0.13690477232707016,10.53008618039661,1.4454929070431841,5.652401984906904,0.176915938156948,3.9098272680439505,1.4454929070431841,1.0
1054.0,116.9191,31.2422,42.0,20.0,38.0,1.45,2.4998,10.0,0.1,1.41,0.137070226,0.27560087269268374,0.45732805880468375,0.13853064669268375,13.564279971648725,1.438080644167588,5.464466279138466,0.1830004887792374,3.803601332655623,1.438080644167588,1.0
1055.0,117.0191,31.2422,42.0,20.0,38.0,1.45,2.4998,10.0,0.1,1.41,0.137070226,0.27560087269268374,0.45732805880468375,0.13853064669268375,13.564279971648725,1.438080644167588,5.464466279138466,0.1830004887792374,3.803601332655623,1.438080644167588,1.0
1056.0,117.1191,31.2422,46.0,21.0,33.0,1.09,1.8791600000000002,28.0,0.1,1.41,0.138762922168,0.2653931896874929,0.43772811265549305,0.1266302675194929,8.410895315270901,1.4900205014629433,5.885941617119435,0.1698963504992082,3.6096225466841316,1.4900205014629433,1.0
1057.0,117.2191,31.2422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1058.0,117.3191,31.2422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1059.0,117.4191,31.2422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1060.0,117.5191,31.2422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1061.0,117.6191,31.2422,37.0,23.0,40.0,1.07,1.84468,4.0,0.1,1.38,0.149725417072,0.29159423410924507,0.44663152657164495,0.14186881703724508,9.373917434606703,1.4664264545851409,5.725983996580326,0.17464247203576194,5.300244810439021,1.4664264545851409,1.0
1062.0,117.7191,31.2422,37.0,23.0,40.0,1.07,1.84468,4.0,0.1,1.38,0.149725417072,0.29159423410924507,0.44663152657164495,0.14186881703724508,9.373917434606703,1.4664264545851409,5.725983996580326,0.17464247203576194,5.300244810439021,1.4664264545851409,1.0
1063.0,117.8191,31.2422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1064.0,117.9191,31.2422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1065.0,118.0191,31.2422,80.0,8.0,12.0,0.58,0.9999199999999999,18.0,0.1,1.62,0.053041262847999995,0.11425581775391745,0.4163121297667176,0.061214554905917457,50.902535514691166,1.5467728561181984,4.97375952445282,0.20105515658399536,1.0,1.5467728561181984,1.0
1066.0,118.1191,31.2422,80.0,8.0,12.0,0.58,0.9999199999999999,18.0,0.1,1.62,0.053041262847999995,0.11425581775391745,0.4163121297667176,0.061214554905917457,50.902535514691166,1.5467728561181984,4.97375952445282,0.20105515658399536,1.0,1.5467728561181984,1.0
1067.0,118.2191,31.2422,79.0,6.0,15.0,0.41,0.7068399999999999,10.0,0.4,1.66,0.03810001199199999,0.10156454257801457,0.41301456885641463,0.06346453058601459,67.44033163953473,1.555511392530501,3.8926987450967445,0.25689118667597977,1.0,1.555511392530501,1.0
